학번,이름,국어,영어,수학,과학,사회
2024001,김민준,65,63,65,59,48
2024002,이서연,64,62,66,67,87
2024003,박도윤,70,54,60,70,90
2024004,최지우,66,73,46,59,77
2024005,정하은,64,71,76,78,53
2024006,강시우,45,26,62,58,83
2024007,조유진,50,78,60,67,66
2024008,윤재현,80,75,65,70,77
2024009,임수아,57,58,56,54,100
2024010,한지호,52,77,62,60,83
2024011,오은서,67,44,76,84,48
2024012,서준혁,72,60,68,68,100
2024013,황예린,59,57,61,77,61
2024014,안도현,79,54,56,43,54
2024015,송지안,74,83,51,60,73
2024016,전민서,81,69,66,81,76
2024017,홍준서,68,94,75,89,72
2024018,권나은,51,63,66,66,80
2024019,배시윤,79,73,19,34,70
2024020,신하윤,52,59,99,73,65
2024021,문준영,49,68,49,72,70
2024022,양서윤,72,85,81,81,75
2024023,조현우,43,80,92,93,81
2024024,임지훈,60,46,63,61,100
2024025,백서아,73,41,47,59,82
2024026,노윤서,67,48,86,80,77
2024027,하은재,85,66,56,68,79
2024028,구민재,100,69,61,66,92
2024029,고서윤,76,83,57,46,74
2024030,남지우,59,78,70,54,78
2024031,유하준,46,72,57,53,78
2024032,심소율,59,71,77,59,76
2024033,진우진,100,37,67,59,68
2024034,염지민,68,99,84,83,63
2024035,석다은,69,61,52,35,100
2024036,성민규,94,50,60,92,57
2024037,반예준,60,72,45,61,66
2024038,위서현,61,84,41,28,69
2024039,연도윤,100,73,84,62,57
2024040,탁수빈,76,74,56,51,58
